public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,text,id,created_at
3686,43,17384,19,"Ocarina of Time. 
Animated Wallpaper next week. #zelda #nintendo https://t.co/241g7JDO54",1567905748990009345,2022-09-08
38,6,394,1,"Anju - Beach Edition (WIP). #Zelda 

The end of the season will not stop me from continuing to work on my summer artworks. Now that it's getting cooler, I'm not slowed down by the heat strokes anymore and can be more productive again. https://t.co/GC5f36rRZw",1567991422120529921,2022-09-08
4,0,32,0,"Moments with sun.... 🙂🐾
#Zelda #DogsofTwittter #Dachshund #Doxie #SausageArmy #Teckel https://t.co/GOIbX7qpPQ",1567913501515218944,2022-09-08
4,1,51,0,"Someone is hiding....😉🙂🐾
#Zelda #DogsofTwittter #Dachshund #Doxie #SausageArmy #Teckel https://t.co/cjo5bJfkXW",1567959405706022919,2022-09-08
9,2,89,0,"Working on some cool #animation stuff

Been watching videos of skydivers for research 🤙🏼

#gamedev #madewithunity #zelda #indiegamedev #wishlistwednesday https://t.co/IQEBfsUrrv",1567673417586905089,2022-09-08
254,7,1391,2,More #Zelda #pixelart because I can't get the Nintendo out of me. https://t.co/3T4HrP62kV,1568311181357756416,2022-09-09
51,0,226,1,Dark Links #Zelda #ゼルダの伝説 https://t.co/ht7y5PQWuL,1568359003737948161,2022-09-09
10,2,57,0,"Quiet afternoon.... 😊🐾
#Zelda #DogsofTwittter #Dachshund #Doxie #SausageArmy #Teckel https://t.co/6K9fUfaruT",1568220550354411522,2022-09-09
41,12,339,0,"Getting so excited for the Nintendo Direct soon!

Wanted to share some work! A few fun additions to make but the skydiving is coming along 🚧 

#gamedev #madewithunity #screenshotsaturday #zelda #IndieGameDev #nintendo https://t.co/L5RU9WS6EV",1568348630981001218,2022-09-09
20,0,108,0,"A little hike.

#botw #Zelink #Zelda #tloz #zeldafanart #BreathoftheWild #zeldatwt https://t.co/l3EnGFOj8B",1568332163615182848,2022-09-09
17,3,168,0,Okami &amp; Wolf Link 🌸🌙⭐️✨ #artwork #okami #zelda https://t.co/tn8baNLwT2,1568652409731162114,2022-09-10
17,2,74,0,"🍂⏰ I really love this game
#Zelda #pixelart #pixel #Fanart https://t.co/RRlxb06SZv",1568706011598409729,2022-09-10
2,0,31,0,"Thankful for everything 🤍
.
.
.
#zelda #cosplay #firstcosplay #sailormoon #botw https://t.co/yTZGwei0Mq",1568636048074219520,2022-09-10
16,0,63,0,"It's a beautiful full moon.
#Zelda #BreathoftheWild https://t.co/z7ZJI9RJw5",1568626681069588481,2022-09-10
8,0,30,0,"More Zelda inspired trident concepts for fun.

#propdesign #zelda #ArtistOnTwitter https://t.co/YbeHrgUoM6",1568669182602145792,2022-09-10
504,8,2315,4,"#ocarinaoftime 
#Zelda 
Nestling https://t.co/E6q7Su97u6",1568971919214649345,2022-09-11
279,16,1120,3,Incredibly fun collab with @estmorzel who painted lovely Zelda. Midna was painted by yours truly. Do you think we’ll all really get #TwilightPrincess for the Switch? 🫣 #Zelda #Midna #Collab #zeldatwt https://t.co/LsFyKFQIgX,1568978996758745090,2022-09-11
6,2,41,0,"The Breath of the Wild Experience.

#BOTW #Zelda #LegendofZelda https://t.co/dte3Q17CGv",1569069141511884801,2022-09-11
11,0,31,1,"drew a couple of ~cuties~ today
my two nintendo childhood crushes
#Rosalina #Zelda https://t.co/DhD6buaAHU",1568877369901068288,2022-09-11
292,22,1524,14,"I share with you my latest creation: a Botw chess game. https://t.co/nboJOHQeD5
#zelda #chess #thelegendofzelda #Nintendo #botw #botw2 #breathofthewild2 #NintendoDirect #chessboard @nintendolife @PuissanceZelda @ZeldaUniverse @ZeldaInformer https://t.co/HMlMEN9snn",1569055368164032513,2022-09-11
127,0,779,2,wip✨ wip ✨wip✨ of these cuties while we patiently wait for #botw2  (⭒•͈ 𓎺 •͈ ) #BOTW #LINK #Zelda https://t.co/HrbayzaypM,1569347083240611840,2022-09-12
230,8,1172,1,"More Zelda fanart I did a while ago💕 they are so cute pls Nintendo give us more #Zelink in botw 2😔💖 
#BreathoftheWild #botwfanart #zelda #fanart #TheLegendOfZelda #tolz #nintendo #Zelda #Link https://t.co/Vvy2xeTl68",1569271005775798272,2022-09-12
95,10,576,4,"With #Zelda trending, let's take a minute to remember the best worst Link ever! https://t.co/4wBHgRHOCV",1569463947333615616,2022-09-12
192,82,2325,17,My final attempt to summon BOTW 2 #BOTW2 #Zelda #NintendoDirect https://t.co/LEyo96kneX,1569457923402907649,2022-09-12
20,2,106,0,"TP on switch or bust
#NintendoDirect #legendofzelda #zelda #twilightprincess https://t.co/S7L4kpEhHy",1569326934466732033,2022-09-12
2180,13,16150,6,"Soon

#TearsoftheKingdom #NintendoDirect #Zelda https://t.co/pK8JPPGTdy",1569713978204426243,2022-09-13
3629,58,14463,34,"I painted this hoping the game would be announced for Switch 🥲
Still, very excited about BotW2!
Now I want to paint Link &amp; Zelda. 🥰
-
#Midna #Zelda #TwilightPrincess https://t.co/YlzxoZMJnj",1569704422715936769,2022-09-13
315,0,2204,4,FINALLY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #Zelda #tearsofthekingdom https://t.co/XMjO7nMoJ0,1569730428877287424,2022-09-13
338,10,1733,0,"Tetra Wind Waker🏴‍☠️
#Zelda https://t.co/UMgHesgaSg",1569675639438934018,2022-09-13
1974,99,15363,214,"skyward sword -&gt; tears of the kingdom

#Zelda https://t.co/nn7RrkA2pf",1569724992950259712,2022-09-13
1782,19,7046,23,Tears of the Kingdom lezzgooooo #zelda https://t.co/rMRCek2GSW,1570077577779507202,2022-09-14
